client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,purchases,total_investment,avg_purchase_price,avg_area_sqft,avg_price_per_sqft,towers,segment,cluster,is_loan,is_investment
C0042,Individual,F,USA,Utah,Home,1,Yes,Website,50.7,4,1101390.25,275347.5625,913.8425,302.8701353206072,4,Value-Oriented Buyers,0,1,0
C0043,Individual,M,USA,Nevada,Investment,3,Yes,Website,61.4,4,1126492.46,281623.115,983.505,281.3298261097273,4,Value-Oriented Buyers,0,1,1
C0044,Individual,F,USA,Arizona,Home,3,No,Website,95.5,4,1330493.26,332623.315,1106.8675,304.7615369287913,4,Value-Oriented Buyers,0,0,0
C0045,Individual,M,USA,Colorado,Investment,2,No,Agency,57.7,5,1463432.36,292686.47199999995,913.774,314.6119778517108,4,Value-Oriented Buyers,0,0,1
C0046,Individual,F,USA,California,Home,5,No,Client,61.9,8,2026517.4,253314.675,857.8050000000001,297.1196599473188,7,Frequent / Portfolio Buyers,2,0,0
C0047,Individual,M,USA,Colorado,Home,2,No,Agency,56.0,5,1438239.28,287647.856,953.568,298.32744523144754,5,Value-Oriented Buyers,0,0,0
C0048,Individual,M,USA,California,Home,3,Yes,Agency,69.4,4,1338718.0,334679.5,1026.3200000000002,323.2713053028784,4,Value-Oriented Buyers,0,1,0
C0049,Individual,F,USA,California,Home,1,No,Website,55.0,4,1390091.2,347522.8,1204.3675,290.3509384197303,4,Premium Home Buyers,1,0,0
C0050,Individual,M,USA,California,Home,5,No,Website,86.3,9,2744452.35,304939.15,993.5088888888888,304.22017127585246,7,Frequent / Portfolio Buyers,2,0,0
C0051,Individual,F,USA,Colorado,Home,3,No,Agency,85.4,4,1270440.42,317610.105,1039.56,311.66896833269914,4,Value-Oriented Buyers,0,0,0
C0052,Individual,F,USA,Oregon,Investment,2,No,Client,59.4,4,1474211.53,368552.8825,1187.925,313.93085115429466,3,Premium Home Buyers,1,0,1
C0053,Individual,M,USA,Arizona,Home,4,No,Agency,72.1,4,1120539.44,280134.86,929.245,300.1860077066342,4,Value-Oriented Buyers,0,0,0
C0054,Company,M,USA,Nevada,Investment,5,No,Website,59.5,6,2109277.6,351546.26666666666,1115.6333333333334,315.86931081501643,4,Frequent / Portfolio Buyers,2,0,1
C0055,Individual,F,USA,California,Home,5,Yes,Agency,53.1,4,1178979.21,294744.8025,989.83,309.2760373361762,4,Value-Oriented Buyers,0,1,0
C0056,Individual,M,USA,Oregon,Investment,5,No,Agency,62.1,4,1579301.36,394825.34,1355.5975,299.9967738714426,4,Premium Home Buyers,1,0,1
C0057,Individual,M,USA,California,Home,4,Yes,Agency,93.0,5,2020519.52,404103.904,1344.1439999999998,300.50658351907526,4,Premium Home Buyers,1,1,0
C0058,Company,F,USA,California,Investment,1,Yes,Website,57.4,5,1441406.17,288281.234,919.84,310.29079874621,4,Value-Oriented Buyers,0,1,1
C0059,Individual,M,USA,California,Home,2,No,Website,66.2,4,1278854.25,319713.5625,1102.44,283.8232393320658,4,Value-Oriented Buyers,0,0,0
C0060,Individual,F,USA,California,Home,5,No,Website,54.1,4,1355662.25,338915.5625,1119.4675,307.18982419806434,3,Value-Oriented Buyers,0,0,0
C0061,Individual,M,USA,Utah,Home,5,No,Agency,58.7,4,1306907.58,326726.895,1101.62,296.353773633854,4,Value-Oriented Buyers,0,0,0
C0062,Individual,M,USA,California,Home,5,Yes,Client,52.4,5,1489333.49,297866.698,1059.832,276.0988660647487,4,Value-Oriented Buyers,0,1,0
C0063,Individual,F,USA,Arizona,Home,4,No,Website,84.1,5,1625480.88,325096.176,1112.538,291.6406727352229,5,Premium Home Buyers,1,0,0
C0064,Individual,M,UK,Northern Ireland,Investment,4,No,Agency,51.9,4,1448881.28,362220.32,1095.85,322.47075587906164,4,Premium Home Buyers,1,0,1
C0065,Individual,M,USA,California,Home,1,No,Agency,54.4,4,1557125.73,389281.4325,1261.5275,309.23446412471526,4,Premium Home Buyers,1,0,0
C0066,Individual,F,USA,California,Investment,3,No,Client,51.6,4,1107164.17,276791.0425,932.755,301.943428392913,4,Value-Oriented Buyers,0,0,1
C0067,Individual,M,USA,California,Home,2,No,Website,48.8,5,1431941.84,286388.368,851.818,326.17452103134707,4,Value-Oriented Buyers,0,0,0
C0068,Individual,F,USA,Colorado,Home,5,Yes,Agency,60.5,4,1572779.33,393194.8325,1450.2925,276.6905992190839,4,Premium Home Buyers,1,1,0
C0069,Individual,M,USA,California,Investment,4,No,Website,56.6,5,1439142.47,287828.494,957.588,297.7396515670927,5,Value-Oriented Buyers,0,0,1
C0070,Individual,F,USA,Arizona,Home,4,Yes,Website,79.3,5,1521570.62,304314.124,1039.274,290.66906938876934,4,Value-Oriented Buyers,0,1,0
C0071,Individual,M,USA,California,Home,1,Yes,Client,40.6,5,1150384.09,230076.81800000003,833.3799999999999,289.8681345339796,5,Value-Oriented Buyers,0,1,0
C0072,Individual,M,USA,Nevada,Investment,2,No,Website,73.4,6,2246488.58,374414.76333333337,1129.4916666666666,334.505223898359,5,Frequent / Portfolio Buyers,2,0,1
C0073,Individual,F,Denmark,Capital Region,Investment,1,No,Agency,60.8,4,1413902.33,353475.5825,1194.0325,302.3803783087699,4,Premium Home Buyers,1,0,1
C0074,Individual,F,USA,Oregon,Investment,5,No,Client,67.6,5,1709458.65,341891.73,1138.044,299.642237208085,4,Premium Home Buyers,1,0,1
C0075,Individual,F,USA,California,Home,3,No,Website,56.3,4,1269395.74,317348.935,1048.3425,302.3884329270391,4,Value-Oriented Buyers,0,0,0
C0076,Individual,M,USA,California,Home,5,No,Agency,70.4,6,1905852.09,317642.015,1067.28,296.64819897219985,5,Frequent / Portfolio Buyers,2,0,0
C0077,Individual,M,USA,California,Home,5,No,Website,45.9,5,1880012.18,376002.436,1191.826,316.7556317413306,4,Premium Home Buyers,1,0,0
C0078,Individual,F,USA,California,Home,5,No,Website,78.3,4,1685882.39,421470.5975,1415.63,300.1684643304417,4,Premium Home Buyers,1,0,0
C0079,Individual,M,Belgium,Brussels,Investment,4,No,Website,72.5,4,1456436.3,364109.075,1219.0675,294.36648924010007,4,Premium Home Buyers,1,0,1
C0080,Individual,F,USA,California,Investment,3,No,Website,77.6,5,1427531.56,285506.31200000003,965.024,308.57401306942813,4,Value-Oriented Buyers,0,0,1
C0081,Individual,F,USA,California,Home,4,Yes,Website,83.1,4,1522144.26,380536.065,1252.745,297.7366535115751,4,Premium Home Buyers,1,1,0
C0082,Individual,F,USA,Virginia,Investment,5,No,Client,44.6,5,1282267.95,256453.59,884.2239999999999,295.1400683027561,4,Value-Oriented Buyers,0,0,1
C0083,Individual,M,USA,California,Home,5,No,Website,87.8,6,1513641.46,252273.57666666663,851.395,293.88787475036446,5,Frequent / Portfolio Buyers,2,0,0
C0084,Individual,M,USA,Wyoming,Home,3,No,Agency,78.5,5,1762231.92,352446.384,1083.612,320.648282067402,5,Premium Home Buyers,1,0,0
C0085,Individual,M,USA,California,Home,4,Yes,Agency,59.9,4,1185505.46,296376.365,986.395,299.8044469908044,4,Value-Oriented Buyers,0,1,0
C0086,Individual,F,USA,California,Home,3,Yes,Website,57.6,5,1928188.61,385637.722,1354.634,287.17025376935896,5,Premium Home Buyers,1,1,0
C0087,Individual,F,USA,California,Home,4,No,Agency,47.2,4,1681153.28,420288.32,1287.6625,324.3612820820306,4,Premium Home Buyers,1,0,0
C0088,Individual,M,USA,Oregon,Investment,2,No,Website,90.0,6,1450519.57,241753.2616666667,786.9733333333334,313.37109309610923,5,Value-Oriented Buyers,0,0,1
C0089,Individual,M,USA,California,Home,3,No,Agency,76.7,4,1041853.81,260463.4525,854.79,305.25889798935304,4,Value-Oriented Buyers,0,0,0
C0090,Individual,M,USA,California,Home,5,No,Client,44.2,5,980850.42,196170.084,703.798,276.4707623409664,5,Value-Oriented Buyers,0,0,0
C0091,Individual,F,USA,California,Home,4,No,Website,66.7,4,1356644.74,339161.185,1161.6775,302.4076252717272,4,Premium Home Buyers,1,0,0
C0092,Individual,M,USA,Kansas,Home,3,No,Website,55.2,8,2817926.96,352240.87,1218.0425,288.69570491545005,7,Frequent / Portfolio Buyers,2,0,0
C0093,Individual,M,USA,California,Home,2,No,Agency,63.8,5,1732558.38,346511.676,1196.466,291.74734316486075,5,Premium Home Buyers,1,0,0
C0094,Individual,F,USA,California,Home,5,No,Website,78.3,5,1062675.82,212535.164,692.664,310.0683930408275,4,Value-Oriented Buyers,0,0,0
C0095,Individual,M,USA,California,Home,3,Yes,Agency,62.4,6,1668973.02,278162.17,923.105,298.6393948198028,4,Frequent / Portfolio Buyers,2,1,0
C0096,Individual,M,USA,California,Investment,3,Yes,Website,40.6,4,1363013.17,340753.2925,1113.615,310.9008896654844,4,Value-Oriented Buyers,0,1,1
C0097,Individual,M,USA,Virginia,Home,5,Yes,Website,83.2,7,2189906.04,312843.72000000003,1061.722857142857,294.3620163184772,5,Frequent / Portfolio Buyers,2,1,0
C0098,Individual,F,Russia,Saint Petersburg,Home,3,Yes,Agency,77.1,4,1131592.65,282898.1625,981.955,285.7158462047039,4,Value-Oriented Buyers,0,1,0
C0099,Individual,M,USA,California,Investment,4,No,Website,85.6,6,2000308.58,333384.76333333337,1201.5883333333334,290.00847022953025,5,Frequent / Portfolio Buyers,2,0,1
C0100,Individual,M,USA,California,Home,3,No,Website,57.3,4,1449544.65,362386.1625,1174.44,306.726846175456,4,Premium Home Buyers,1,0,0
C0101,Individual,F,USA,Nevada,Home,3,No,Website,75.5,4,1125013.8,281253.45,874.345,312.8174483617631,4,Value-Oriented Buyers,0,0,0
C0102,Individual,M,USA,California,Investment,5,Yes,Website,79.5,9,3403263.85,378140.4277777778,1222.908888888889,307.50877635454384,8,Frequent / Portfolio Buyers,2,1,1
C0103,Individual,M,USA,Colorado,Home,3,No,Website,52.7,5,1483838.77,296767.754,964.98,315.5271021087973,4,Value-Oriented Buyers,0,0,0
C0104,Individual,M,USA,California,Home,5,No,Website,47.9,5,1677155.01,335431.002,1090.3,306.5429479475834,4,Premium Home Buyers,1,0,0
C0105,Individual,F,USA,California,Investment,2,Yes,Website,67.4,5,1328084.36,265616.87200000003,850.948,310.2787991501492,5,Value-Oriented Buyers,0,1,1
C0106,Individual,M,USA,Colorado,Home,4,No,Website,72.9,4,957679.27,239419.8175,820.9825000000001,280.4893799740676,4,Value-Oriented Buyers,0,0,0
C0107,Individual,M,USA,California,Home,4,Yes,Agency,67.2,5,1715058.23,343011.646,1102.66,321.0937472547081,5,Premium Home Buyers,1,1,0
C0108,Individual,M,USA,California,Home,4,No,Agency,67.6,6,1998798.72,333133.12,1104.1699999999998,302.2877171442092,4,Frequent / Portfolio Buyers,2,0,0
C0109,Individual,F,USA,California,Investment,5,Yes,Agency,93.3,5,1995551.09,399110.218,1285.854,307.1535990413305,4,Premium Home Buyers,1,1,1
C0110,Individual,F,USA,California,Investment,5,Yes,Agency,67.3,5,1205555.46,241111.092,811.4019999999999,298.5467864426498,5,Value-Oriented Buyers,0,1,1
C0111,Individual,M,USA,Arizona,Home,2,Yes,Website,47.1,4,1198421.22,299605.305,896.7175,329.6075126945271,4,Value-Oriented Buyers,0,1,0
C0112,Individual,F,USA,California,Investment,1,Yes,Agency,66.6,5,1775142.2,355028.44,1115.986,320.07470915259364,5,Premium Home Buyers,1,1,1
C0113,Individual,M,USA,Utah,Investment,4,No,Agency,77.1,4,1414433.46,353608.365,1186.715,297.9272351204864,4,Premium Home Buyers,1,0,1
C0114,Individual,F,USA,California,Home,1,Yes,Website,64.6,4,1124004.05,281001.0125,932.945,302.70651871845456,3,Value-Oriented Buyers,0,1,0
C0115,Individual,F,USA,California,Home,5,No,Agency,48.4,5,1757354.59,351470.918,1143.692,305.823176955505,5,Premium Home Buyers,1,0,0
C0116,Individual,F,USA,California,Investment,4,No,Website,71.1,8,2484590.08,310573.76,1039.8925,293.7700492203778,7,Frequent / Portfolio Buyers,2,0,1
C0117,Individual,M,UK,Scotland,Investment,4,No,Agency,62.2,8,2884556.25,360569.53125,1135.78625,314.48715228134006,7,Frequent / Portfolio Buyers,2,0,1
C0118,Individual,F,USA,Oregon,Investment,5,No,Agency,77.9,4,1218377.19,304594.2975,1009.1225,311.2890512146992,4,Value-Oriented Buyers,0,0,1
C0119,Individual,F,USA,California,Home,1,Yes,Website,84.1,4,1603043.92,400760.98,1399.315,288.059030603339,4,Premium Home Buyers,1,1,0
C0120,Individual,F,USA,California,Home,4,Yes,Website,73.0,5,1753587.39,350717.478,1243.96,275.99413507449765,5,Premium Home Buyers,1,1,0
C0121,Individual,M,USA,Nevada,Home,2,No,Website,76.1,5,1169150.31,233830.062,806.688,290.52748167423425,4,Value-Oriented Buyers,0,0,0
C0122,Individual,F,USA,California,Home,1,Yes,Agency,53.0,4,1412560.68,353140.17,1085.975,319.92455374538275,4,Premium Home Buyers,1,1,0
C0123,Individual,F,USA,California,Home,4,Yes,Website,64.0,5,1821348.69,364269.738,1230.66,298.5763214886527,5,Premium Home Buyers,1,1,0
C0124,Individual,F,USA,California,Home,4,No,Agency,63.1,5,1613985.08,322797.016,1184.63,280.4248135298491,4,Premium Home Buyers,1,0,0
C0125,Individual,M,USA,Colorado,Home,4,Yes,Agency,49.6,4,1341108.25,335277.0625,1148.5475,287.5490431988801,4,Value-Oriented Buyers,0,1,0
C0126,Individual,F,USA,California,Investment,2,No,Agency,53.8,5,1319929.46,263985.892,850.052,303.61157787909195,4,Value-Oriented Buyers,0,0,1
C0127,Individual,M,USA,Nevada,Home,2,Yes,Website,52.1,4,967474.23,241868.5575,765.085,314.93720173163115,4,Value-Oriented Buyers,0,1,0
C0128,Company,M,USA,Nevada,Investment,5,Yes,Website,63.2,5,1639392.9500000002,327878.59,1054.034,311.98843610305346,5,Premium Home Buyers,1,1,1
C0129,Individual,M,USA,Arizona,Investment,5,No,Website,53.1,4,1748372.75,437093.1875,1296.985,336.27374694863545,4,Premium Home Buyers,1,0,1
C0130,Individual,M,USA,Nevada,Home,3,Yes,Website,67.3,4,1488042.88,372010.72,1215.035,308.423784320332,3,Premium Home Buyers,1,1,0
C0131,Individual,M,USA,California,Home,1,No,Website,55.5,5,1428058.5499999998,285611.71,928.794,299.33404543762134,5,Value-Oriented Buyers,0,0,0
C0132,Individual,M,USA,Nevada,Home,1,Yes,Agency,61.1,4,1203775.04,300943.76,1025.1775,294.0513542596994,4,Value-Oriented Buyers,0,1,0
C0133,Individual,M,USA,California,Investment,4,No,Agency,79.9,4,1449799.93,362449.9825,1177.4025,307.7526795875988,4,Premium Home Buyers,1,0,1
C0134,Individual,F,Russia,Novosibirsk,Investment,3,No,Website,94.2,5,1761669.87,352333.974,1095.602,320.93126785361443,4,Premium Home Buyers,1,0,1
C0135,Individual,M,USA,Utah,Investment,2,No,Agency,87.3,4,1221442.92,305360.73,1043.61,282.27335399506,3,Value-Oriented Buyers,0,0,1
C0136,Individual,M,USA,California,Home,3,No,Website,52.9,5,1892554.72,378510.944,1244.274,305.25171337470726,5,Premium Home Buyers,1,0,0
C0137,Individual,F,USA,California,Home,3,Yes,Website,68.8,4,989750.45,247437.6125,855.0699999999999,288.9749727554761,4,Value-Oriented Buyers,0,1,0
C0138,Individual,F,USA,Oregon,Investment,3,Yes,Website,87.1,5,1367824.55,273564.91000000003,914.412,301.66109635761745,5,Value-Oriented Buyers,0,1,1
C0139,Individual,F,USA,California,Home,5,Yes,Website,56.8,5,1807366.3,361473.26,1136.694,320.61628857850053,5,Premium Home Buyers,1,1,0
C0140,Individual,F,USA,California,Home,3,No,Website,74.1,5,1559561.53,311912.306,1041.7220000000002,297.7645569532283,5,Value-Oriented Buyers,0,0,0
C0141,Individual,F,USA,California,Home,5,No,Website,40.1,5,1765019.09,353003.818,1088.806,319.12733732553926,5,Premium Home Buyers,1,0,0
C0142,Individual,F,USA,Nevada,Home,3,Yes,Website,48.3,5,1673770.19,334754.038,1149.396,292.3324786010019,5,Premium Home Buyers,1,1,0
C0143,Individual,M,USA,California,Home,1,No,Website,68.5,8,2389960.3,298745.0375,1008.6325,289.36566488414894,8,Frequent / Portfolio Buyers,2,0,0
C0144,Individual,M,USA,California,Home,4,No,Agency,71.9,5,1897739.74,379547.948,1206.354,316.7065941966459,5,Premium Home Buyers,1,0,0
C0145,Individual,F,USA,California,Home,4,No,Website,61.7,5,1746571.55,349314.31,1297.3200000000002,274.21065993950833,5,Premium Home Buyers,1,0,0
C0146,Individual,M,USA,Colorado,Home,2,No,Website,63.6,4,1481536.39,370384.0975,1242.6425,294.4618155325702,4,Premium Home Buyers,1,0,0
C0147,Individual,M,USA,Utah,Home,4,No,Client,78.5,5,1398309.27,279661.854,1000.47,287.3885472838249,5,Value-Oriented Buyers,0,0,0
C0148,Individual,M,USA,Colorado,Investment,4,Yes,Agency,57.3,4,1700383.7,425095.925,1413.5925,301.4513793734404,4,Premium Home Buyers,1,1,1
C0149,Individual,M,Russia,Krasnodar Krai,Investment,3,No,Agency,71.5,4,1049009.0,262252.25,906.485,287.7979932947236,4,Value-Oriented Buyers,0,0,1
C0150,Individual,M,USA,California,Home,2,Yes,Website,58.0,4,1846066.58,461516.645,1500.95,306.120453424573,4,Premium Home Buyers,1,1,0
C0151,Individual,F,USA,Oregon,Home,1,No,Agency,50.0,5,1589086.32,317817.264,1123.442,277.73682827188185,5,Value-Oriented Buyers,0,0,0
C0152,Individual,F,USA,California,Investment,2,Yes,Agency,59.6,7,2539205.93,362743.7042857143,1212.7585714285713,294.6573053444967,6,Frequent / Portfolio Buyers,2,1,1
C0153,Individual,F,USA,California,Home,5,No,Website,43.5,5,1560375.26,312075.052,944.032,329.60563756264736,5,Value-Oriented Buyers,0,0,0
C0154,Individual,F,USA,California,Home,4,Yes,Agency,61.5,5,2142457.31,428491.462,1390.49,308.6200494436542,5,Premium Home Buyers,1,1,0
C0155,Company,M,USA,California,Investment,5,No,Agency,51.0,5,1622885.53,324577.106,1097.394,295.02566922391054,5,Premium Home Buyers,1,0,1
C0156,Individual,F,USA,California,Home,5,No,Website,60.2,4,1344903.47,336225.8675,1102.105,305.5069416126888,4,Value-Oriented Buyers,0,0,0
C0157,Individual,M,USA,Colorado,Home,2,Yes,Client,74.2,4,1060400.03,265100.0075,830.7675,310.5708170385752,4,Value-Oriented Buyers,0,1,0
C0158,Individual,F,USA,Virginia,Investment,3,Yes,Agency,47.4,4,1439477.66,359869.415,1131.4975,312.4568891073972,4,Premium Home Buyers,1,1,1
C0159,Individual,M,USA,California,Home,3,No,Website,84.3,4,1596507.45,399126.8625,1336.7325,300.61486358032573,4,Premium Home Buyers,1,0,0
C0160,Individual,F,USA,California,Home,4,No,Website,66.8,5,1679716.96,335943.392,1144.06,297.4014063463627,5,Premium Home Buyers,1,0,0
C0161,Individual,M,USA,California,Home,5,No,Website,74.8,9,2534264.26,281584.91777777777,939.4144444444444,299.190548152945,7,Frequent / Portfolio Buyers,2,0,0
C0162,Individual,M,USA,California,Home,4,No,Website,72.9,4,1135363.52,283840.88,983.24,291.2756960006085,4,Value-Oriented Buyers,0,0,0
C0163,Individual,M,USA,Utah,Investment,5,Yes,Agency,40.4,4,1506594.21,376648.5525,1307.32,288.6436910242928,4,Premium Home Buyers,1,1,1
C0164,Individual,M,USA,Arizona,Home,5,No,Website,39.9,4,1436152.54,359038.135,1196.7975,301.04930542820927,4,Premium Home Buyers,1,0,0
C0165,Individual,F,USA,California,Home,3,Yes,Website,69.8,3,1276849.33,425616.44333333336,1357.1933333333334,317.14526904751153,3,Premium Home Buyers,1,1,0
C0166,Individual,F,USA,Arizona,Home,4,Yes,Agency,42.5,4,1273643.37,318410.8425,1025.3225,309.51267068830805,4,Value-Oriented Buyers,0,1,0
C0167,Individual,F,UK,Scotland,Home,3,Yes,Website,71.5,7,2749577.33,392796.7614285714,1320.3814285714286,300.8857876348719,7,Frequent / Portfolio Buyers,2,1,0
C0168,Individual,F,USA,Nevada,Home,3,No,Agency,66.2,4,1491785.87,372946.4675,1329.6025,285.01565214437966,4,Premium Home Buyers,1,0,0
C0169,Individual,M,USA,Ohio,Investment,5,Yes,Agency,36.0,3,688864.2,229621.4,845.8633333333333,274.9870284848701,3,Value-Oriented Buyers,0,1,1
C0170,Individual,M,USA,California,Home,5,No,Website,77.2,3,1161316.17,387105.39,1339.746666666667,288.5198159742899,3,Premium Home Buyers,1,0,0
C0171,Individual,F,USA,Washington,Investment,5,Yes,Client,35.3,4,1278753.71,319688.4275,1070.72,296.83854424641083,4,Value-Oriented Buyers,0,1,1
C0172,Individual,F,USA,Washington,Home,1,Yes,Agency,33.9,4,1681471.91,420367.9775,1572.79,269.18868156399094,4,Premium Home Buyers,1,1,0
C0173,Individual,F,USA,Arizona,Home,5,Yes,Agency,50.1,8,2619968.43,327496.05375,1074.5925,311.60636323680546,7,Frequent / Portfolio Buyers,2,1,0
C0174,Individual,F,USA,California,Investment,3,No,Client,44.2,3,865359.73,288453.24333333335,869.7866666666667,340.39702639981215,3,Value-Oriented Buyers,0,0,1
C0175,Individual,M,USA,Washington,Home,5,No,Agency,64.3,4,1606138.12,401534.53,1313.38,297.6245595781397,4,Premium Home Buyers,1,0,0
